ACTIONS,Category,SUBJECTS,Category,OBJECTS,Category,ADJECTIVE,Category
biting,mouth stuff,barack obama,political figures,tiki torch,things on fire,,
licking,mouth stuff,donald trump,political figures,my house,things on fire,,
smoking,mouth stuff,nelson mandela,political figures,my dead aunt in hell,things on fire,,
sucking,mouth stuff,caesar,political figures,the boy in the striped pajamas,things on fire,,
slurping,mouth stuff,napoleon,political figures,marshmallows,things on fire,,
gnawing,mouth stuff,glenn beck,political figures,corn dogs,things on fire,,
kissing,mouth stuff,leslie knope,political figures,the flaming guitar from mad max,things on fire,,
chomping,mouth stuff,senator palpatine,political figures,dumbledore's phoenix,things on fire,,
gumming,mouth stuff,william wallace,political figures,a bowl full of nugs,things on fire,,
spewing.vomiting.upchucking.,mouth stuff,jesus,political figures,cigarettes,things on fire,,
teeth whitening,mouth stuff,sarah palin,political figures,a dying whitewalker,things on fire,,
farting,butt stuff,that jew next door,people your mom have slept with,the holocaust ,depressing shit,,
spanking,butt stuff,tiger woods,people your mom have slept with,season four of spongebob,depressing shit,,
pooping,butt stuff,nelson mandela,people your mom have slept with,the browns mediocrity,depressing shit,,
sharting,butt stuff,the beebs,people your mom have slept with,poop with a dimple in it,depressing shit,,
twerking,butt stuff,condi,people your mom have slept with,alimony,depressing shit,,
rusty tromboning,butt stuff,the scarecrow from wizard of oz,people your mom have slept with,quadrapelegic kittens,depressing shit,,
underpants wearing,butt stuff,the sorting hat,people your mom have slept with,bottle caps,depressing shit,,
hemmeroid having,butt stuff,elmo,people your mom have slept with,101 dead dalmations,depressing shit,,
bleeding,butt stuff,frodo,people your mom have slept with,mufasa's last breath,depressing shit,,
butthurting,butt stuff,the milkman.milkmen,people your mom have slept with,nothing,depressing shit,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
blowing,,,,,,,
,,,,,,,
shelacking,,,,,,,
chillaxing,,,,,,,
questing,,,,,,,